Key,lang-en.json,lang-ht.json,lang-ru.json,lang-zh-hans.json,lang-ko.json,lang-vi.json,lang-es.json,lang-zh-hant.json
agi.a.noIncomeError,Error: An income is required to continue.,Erè: Revni poko fini.,Ошибка: для продолжения требуется указать доход.,错误：收入必填，方可继续操作。,오류: 계속하려면 소득이 필요합니다.,Lỗi: Cần phải có thu nhập để tiếp tục.,Error: Se necesita un ingreso para continuar.,錯誤：必須填入收入才能繼續。
agi.a.onlyPenalIncomeWarning,"Publication 596, Earned Income Credit,","Piblikasyon 596, Kredi Sou Revni Ou Fè,","Публикация 596, Налоговый зачет за заработанный доход,",第596号刊物，劳动所得抵免（英文），,"간행물 596, 근로 소득 공제(영어)","Ấn Phẩm 596, Tín Thuế Thu Nhập Kiếm Được,","Publicación 596, Crédito por ingreso del trabajo (en inglés),",596 號出版物 —— 勞務所得稅務優惠，
agi.a.pensionTT,Tax Topic 410,Sijè Fiskal 410.,«Налоговая тема 410».,税务主题410（英文）,세금 주제 410,Chủ Đề Thuế 410,Tema tributario 410,稅務主題 410
agi.a.priorYearIncome1,"Publication 596, Earned Income Tax Credit","Piblikasyon 596, Earned Income Tax Credit","Публикация 596, налоговый зачет за заработанный доход",第 596 号刊物，劳动所得税抵免（英文),"간행물 596, 근로 소득 세액 공제","Ấn Phẩm 596, Tín Thuế Thu Nhập Kiếm Được (tiếng Anh)","Publicación 596, Crédito tributario por ingreso del trabajo",596 號出版物 —— 勞務所得稅務優惠
agi.a.prisonIncomeTT,Publication 596,"Piblikasyon 596, Kredi Sou Revni Ou Fè, Salè Antanke Rezidan","Публикация 596, Налоговый зачет за заработанный доход, Заработок во время нахождения в заключении",第596号刊物，劳动所得抵免，囚犯收入（英文）,"간행물 596, 근로 소득 공제,  수감 기간의 소득(영어)","Ấn Phẩm 596, Tín Thuế Thu Nhập Kiếm Được (EIC), Thu Nhập Của Tù Nhân (tiếng Anh)","Publicación 596, Crédito por ingreso del trabajo, ingresos recibidos como recluso (en inglés)",596 號出版物 —— 入獄期間的勞動所得稅務優惠（英文）
agi.a.scholarshipTT,Tax Topic 421,Dosye Taks 421,Налоговая тема 421,税务主题421（英文）,세금 주제  421,Chủ Đề Thuế 421,Tema tributario 421,稅務主題 421
agi.a.selfEmploymentGrossTT,Self-employed individuals tax center | Internal Revenue Service,Piblikasyons Ak Fòmilès Pou Travayè Endepandan Yo,Налоговый центр для самозанятых лиц | Налоговое управление США,针对自雇者的出版物和表格（英文）,자영업자를 위한 양식 및 간행물(영어),Các Ấn Phẩm Và Mẫu Dành Cho Người Tự Kinh Doanh (tiếng Anh),Publicaciones y formularios para los trabajadores por cuenta propia (en inglés),自僱人士的出版物和表格（英文）
agi.a.selfEmploymentInsuranceFINWTT,"Publication 535, Business Expenses for eligibility information","Piblikasyon 535, Tarif Pwofesyonèl Pou Enfòmasyon Sou Elijibilite",Публикация 535 Коммерческие расходы включает информацию о праве на льготы,第 535 号刊物，资格信息的业务支出（英文）,"간행물 535, 적격 정보에 대한 사업 지출","Công Việc Ấn Phẩm 535, Chi Phí Kinh Doanh để nắm được thông tin về khả năng đủ điều kiện","Publicación 535, Gastos de negocio para la información de elegibilidad (en inglés)",535 號出版物 —— 業務費用資格性資訊（英文）
agi.a.selfEmploymentInsuranceSEGTT,"Publication 535, Business Expenses for eligibility information","Piblikasyon 535, Tarif Pwofesyonèl Pou Enfòmasyon Sou Elijibilite",Публикация 535 Коммерческие расходы включает информацию о праве на льготы,第 535 号刊物，资格信息的业务支出（英文）,"간행물 535, 적격 정보에 대한 사업 지출","Công Việc Ấn Phẩm 535, Chi Phí Kinh Doanh để nắm được thông tin về khả năng đủ điều kiện","Publicación 535, Gastos de negocio para la información de elegibilidad (en inglés)",535 號出版物 —— 業務費用資格性資訊（英文）
agi.a.sepSimpleFINWTT,Self-Employed Individuals – Calculating Your Own Retirement-Plan Contribution and Deduction,Endividi Travayè Endepandan – Kalkile Pwòp Kontribisyon Ak Prelèvman Plan Retrèt Ou,Самозанятые лица - расчет взноса и вычета по пенсионному плану,自雇个人 - 计算个人退休计划供款和扣减额（英文）,자영업 개인-자신의 은퇴 플랜 기여와 소득 공제,Các Cá Nhân Tự Kinh Doanh – Tính Toán Khoản Đóng Góp và Khấu Trừ Cho Chương Trình Hưu Trí của Bản Thân Quý Vị,Trabajadores por cuenta propia - Cómo calcular sus aportaciones y deducciones de su propio plan de jubilación (en inglés),自僱人士 —— 計算您自己的退休計劃投入金額和扣除額（英文）
agi.a.sepSimpleSEGTT,Self-Employed Individuals – Calculating Your Own Retirement-Plan Contribution and Deduction,Endividi Travayè Endepandan – Kalkile Pwòp Kontribisyon Ak Prelèvman Plan Retrèt Ou,Самозанятые лица - расчет взноса и вычета по пенсионному плану,自雇个人 - 计算个人退休计划供款和扣减额（英文）,자영업 개인-자신의 은퇴 플랜 기여와 소득 공제,Các Cá Nhân Tự Kinh Doanh – Tính Toán Khoản Đóng Góp và Khấu Trừ Cho Chương Trình Hưu Trí của Bản Thân Quý Vị,Trabajadores por cuenta propia - Cómo calcular sus aportaciones y deducciones de su propio plan de jubilación (en inglés),自僱人士 —— 計算您自己的退休計劃投入金額和扣除額（英文）
agi.a.socialSecurityRailroadTT1,IRS Notice 703,Dosye Taks 423,Налоговая тема 423,税务主题423 （英文）,통지서 703 세금 주제 423,Thông Báo 703 của IRS,Aviso 703,稅務主題 423
agi.a.socialSecurityRailroadTT2,Tax Topic 423,"Piblikasyon 915, Prestasyon Retrè Sekirite Sosyal ak Ekivalan Retrè Fòse",Публикация 915 Льготы по социальному обеспечению и эквивалентная пенсия железнодорожника,第915号刊物， 社会保障和同等铁路退休福利（英文）,"간행물 915, 사회 보장 및 동등한 철도 퇴직 수당","Ấn Phẩm 915, An Sinh Xã Hội và Quyền Lợi Tương Đương của Chương Trình Hưu Trí Đường Sắt",Tema tributario 423,915 號出版物 —— 社會安全津貼和同等的鐵路退休福利（英文）
agi.a.socialSecurityRailroadTT3,"Publication 915, Social Security and Equivalent Railroad Retirement Benefits",,,,"간행물 915, 사회 보장 및 동등한 철도 퇴직 수당(영어)","Ấn Phẩm 915, An Sinh Xã Hội và Quyền Lợi Tương Đương của Chương Trình Hưu Trí Đường Sắt (tiếng Anh)","Publicación 915, Seguro Social y beneficios equivalentes de jubilación ferroviaria (en inglés)",
agi.a.studentLoanTT,"Publication 970, Tax Benefits for Education","Piblikasyon 970, Avantaj Fiskal Pou Ledikasyon","Публикация 970, Налоговые льготы на образование",第970号刊物，教育税收优惠（英文）,"간행물 970, 교육을 위한 세금 혜택(영어)","Ấn Phẩm 970, Lợi Ích Về Thuế Dành Cho Giáo Dục (tiếng Anh)","Publicación 970, Beneficios tributarios para la educación (en inglés)",970 號出版物，教育的稅收優惠（英文）
agi.a.unearnedOtherTT,"Publication 525, Taxable and Nontaxable Income","Piblikasyon 525, Revni Enpozab Ak Revni Non Enpozab","Публикация 525, Облагаемый и не облагаемый налогом доход",第525号刊物，应税和非应税收入（英文）,"간행물 525, 과세 및 비과세 소득(영어)","Ấn Phẩm 525, Thu Nhập Chịu Thuế Và Không Chịu Thuế (tiếng Anh)","Publicación 525, Ingreso tributable y no tributable (en inglés)",525 號發行物 —— 應稅收入和非應稅收入（英文）
agi.a.wagesFederalWithheldTT,Nontaxable combat pay,Prim Konba Non Enpozab,Не облагаемая налогом надбавка за участие в боевых действиях,非应税军饷,비과세 전투 급여,Lương chiến đấu không chịu thuế,Paga por combate no tributable,非應稅戰鬥津貼
agi.a.wagesFederalWithheldTT4,Publication 596,"Prim Konba Non Enpozab nan Piblikasyon 596, Kredi Sou Revni Ou Fè","Не облагаемая налогом надбавка за участие в боевых действиях в публикации 596, Налоговый зачет за заработанный доход",“第596号刊物，劳动所得抵免”中的非应税军饷（英文）,"간행물 596,'근로 소득 세액공제' 에서 비과세 전투 급여(영어)","Ấn Phẩm 596, Tín Thuế Thu Nhập Kiếm Được (EIC) (tiếng Anh)","Paga por combate no tributable en la Publicación 596, Crédito por ingreso del trabajo (en inglés)",596 號發行物 —— 勞動所得稅務優惠中的非應稅戰鬥津貼（英文）
agi.b.investmentIncomeOver,Investment income includes:,Revni envesti enkli:,Доход от инвестиций включает:,投资所得包括：,다음은 투자 소득에 포함됩니다.,Thu nhập đầu tư bao gồm:,Los ingreso de inversiones incluyen:,投資收入包括：
agi.bold.iraTT2,Don't include amounts that you included above.,Pa enkli montan ou te enkli anlè a.,"Не включайте суммы, которые вы включили выше.",不要包含上面包含的款额。,위에 포함된 액수를 포함시키면 안 됩니다.,Vui lòng không bao gồm số tiền mà quý vị đã cung cấp ở trên.,No incluya los montos que usted detalló anteriormente.,請勿包含您在上列包含的金額。
agi.button.alimonyAriaLabel,Alimony - Help Tip,Pansyon Alimantè - Èd,Алименты - Подсказки,赡养费 - 帮助提示,이혼 수당-도움말,Trợ cấp ly hôn - Mẹo Trợ Giúp,Pensión para el cónyuge divorciado - Consejo de ayuda,贍養費 —— 說明提示
agi.button.alimonyDeleteAriaLabel,Delete Alimony :num,Siprime Pansyon Alimantè :num,Удалить алименты :num,删除赡养费 :num,이혼 수당 삭제 :num,Xóa Trợ cấp ly hôn :num,Borrar la pensión para el cónyuge divorciado :num,刪除贍養費 :num
agi.button.businessAriaLabel,Business expenses - Help Tip,Tarif pwofesyonèl - Èd,Коммерческие расходы - Подсказки,业务支出 - 帮助提示,사업 비용,Chi phí kinh doanh - Mẹo Trợ Giúp,Gastos de negocio - Consejo de ayuda,業務費用 —— 說明提示
agi.button.businessDeleteAriaLabel,Delete Business expenses :num,Siprime Tarif pwofesyonèl :num,Удалить коммерческие расходы :num,删除业务支出 :num,사업 비용 삭제 :num,Xóa Chi phí kinh doanh :num,Borrar los gastos de negocio :num,刪除業務費用 :num
agi.button.cafeteriaAriaLabel,Cafeteria plan - Help Tip,Cafeteria plan - Èd,"Программа, предлагающая работникам выбирать наиболее привлекательную для них форму пенсионного обеспечения - Подсказки",自助式福利计划 - 帮助提示,카페테리아 플랜,Chương trình phúc lợi tự chọn - Mẹo Trợ Giúp,Plan cafetería - Consejo de ayuda,自助選配計劃 —— 說明提示
agi.button.cafeteriaDeleteAriaLabel,Delete Cafeteria plan :num,Siprime plan kafeterya :num,"Удалить программу, предлагающую работникам выбирать наиболее привлекательную для них форму пенсионного обеспечения :num",删除自助餐式福利计划 :num,카페테리아 플랜 삭제 :num,Xóa Chương trình phúc lợi tự chọn :num,Borrar el plan cafetería :num ,刪除自助選配計劃 :num
agi.button.disabilityRetirementAriaLabel,Disability retirement - Help Tip,Retrèt pou envalidite - Èd,Выход на пенсию по состоянию здоровья - Подсказки,残障退休 - 帮助提示,장애 퇴직,Hưu trí cho người khuyết tật - Mẹo Trợ Giúp,Jubilación por incapacidad - Consejo de ayuda,殘疾退休 —— 說明提示
